id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40772760,Lindo apto do lado do Rio Centro -  Rio Stay,287444010,Elaine,,Camorim,-22.9755,-43.41468,Entire home/apt,200,2,8,2019-12-13,0.43,3,130
40773310,Quarto amplo com cama de casal na Tijuca,43215120,Alessandra,,Tijuca,-22.92296,-43.21961,Private room,180,1,0,,,1,89
40773345,Apartamento no Jardim Botanico,1147051,Carou,,Jardim Botânico,-22.96248,-43.21607,Private room,400,1,1,2020-01-06,0.05,1,179
40774591,Á duas quadras da praia....,25690150,Katia,,Copacabana,-22.966,-43.18246,Entire home/apt,191,3,0,,,1,362
40774768,Nice room in Copacabana Beach,231714202,Tharic,,Copacabana,-22.97183,-43.18583,Private room,100,1,0,,,2,179
40776196,Loft com vista lateral para o mar,206311432,Igor,,Copacabana,-22.9635,-43.17484,Entire home/apt,123,1,66,2020-12-14,3.56,1,128
40777596,Aconchego Copacabana.,198473960,Manoel,,Copacabana,-22.97179,-43.18983,Entire home/apt,240,2,5,2020-03-03,0.27,4,269
40778317,No melhor ponto de Ipanema! Janela acústica.,316809991,Giovanni,,Ipanema,-22.98462,-43.20792,Entire home/apt,200,3,7,2020-12-06,0.38,1,44
40778811,Single Room Leblon,316814525,Cleia,,Leblon,-22.98206,-43.22687,Private room,100,2,2,2019-12-13,0.12,1,177
40780232,Quarto aconchegante com vista pro Cristo,95934008,João Luiz,,Humaitá,-22.95975,-43.1994,Private room,70,1,3,2020-03-15,0.18,1,13
40780587,AMPLO QUARTO COPACABANA,297672557,Tarcio,,Copacabana,-22.96409,-43.17796,Private room,301,5,2,2020-03-07,0.11,15,364
40783060,São Cristóvão Mobiliado - Ideal Longas Estadias,64367306,Orlando Vieira,,São Cristóvão,-22.90693,-43.21955,Entire home/apt,250,30,1,2020-02-29,0.06,1,78
40784604,"QUARTO DE CASAL, NO FLAMENGO, (QUADRA DA PRAIA).",316921706,Paulo,,Flamengo,-22.9277,-43.17566,Private room,90,1,17,2021-02-03,0.90,6,90
40784852,"Mediterrâneo flat, excelente flat de alto padrão",312526846,Rodrigo,,Barra da Tijuca,-23.00282,-43.34283,Entire home/apt,450,3,0,,,6,363
40786187,Apartamento em Copacabana,106067143,Jonas,,Copacabana,-22.96699,-43.18664,Entire home/apt,555,2,0,,,4,362
40787092,Bela Vista em Botafogo,316858450,Marcia Elisa,,Botafogo,-22.9406,-43.17916,Private room,50,5,3,2020-03-06,0.16,1,68
40795103,Arpanema-PENAMRIO-Quarto_sala completo/2 banheiros,27149197,Maria Luisa,,Ipanema,-22.98458,-43.19579,Entire home/apt,180,4,29,2020-12-13,1.55,8,35
40795627,"Para relaxar, visitar, morar e trabalhar...",2274376,Selena,,Centro,-22.91197,-43.18503,Entire home/apt,231,2,5,2020-01-17,0.27,1,346
40795667,Apartamento na Praia de Copacabana,59224907,Caio,,Copacabana,-22.96307,-43.17677,Entire home/apt,400,2,2,2020-02-25,0.11,1,89
40795914,Ap na 1 quadra da praia Copacabana,204288000,Daniele,,Copacabana,-22.96646,-43.17766,Entire home/apt,325,1,1,2019-12-28,0.05,1,365
40798704,Beachside flat in Rio with a view,216727194,Antonio,,Barra da Tijuca,-23.00873,-43.35585,Entire home/apt,750,2,1,2020-01-09,0.05,1,90
40799376,"Leme, lindo quarto e sala com dependência!",11107884,Tatiana,,Copacabana,-22.9608,-43.1733,Entire home/apt,220,2,2,2020-03-02,0.11,6,246
40801423,Wave Borelli luxury 2 Bedroom 2 Bathrooms,77709888,Fábio Soares - BrazilUpscale,,Ipanema,-22.98435,-43.21078,Entire home/apt,1350,5,1,2020-01-10,0.05,34,349
40802137,Copacabana a alguns passos do Arpoador e Ipanema,8981612,Vania,,Copacabana,-22.98333,-43.19371,Private room,213,2,1,2020-03-01,0.06,1,197
40802170,Charmoso apê em Copacabana,213031853,Fabiola,,Copacabana,-22.96659,-43.18768,Entire home/apt,279,1,2,2020-02-24,0.12,2,350
40802389,Vista MAR em condomínio fechado (Ocean View),243125281,Gabriel,,Barra da Tijuca,-23.00832,-43.34407,Entire home/apt,355,4,2,2021-02-17,0.33,1,50
40802437,Atlantica Premium,6422051,CrisTemporada,,Copacabana,-22.98341,-43.18999,Entire home/apt,276,1,3,2021-07-04,0.29,12,119
40803003,Charme e conforto 40 metros da praia de Copacabana,10041085,Simone,,Copacabana,-22.97976,-43.18903,Entire home/apt,250,5,2,2020-03-28,0.12,1,338
40803152,NO CORAÇÃO DE IPANEMA POSTO 10 DA PRAIA PARA USAR,313843911,Cesar,,Ipanema,-22.98382,-43.19612,Entire home/apt,1018,1,0,,,2,179
40803231,Apartamento Luxuoso com vista Mar,81680798,Amenik,,Leme,-22.96083,-43.16705,Entire home/apt,1800,2,0,,,3,88
40804080,Rio Rentals 021 - C096 Lindo Studio na quadra da praia de Copacabana.,171256195,Andre,,Copacabana,-22.96336,-43.17524,Entire home/apt,182,1,10,2020-12-24,0.55,14,72
40805277,REVEILLON COPACABANA SANTA CLARA BLUE.,12902528,Lilien,,Copacabana,-22.97174,-43.18611,Entire home/apt,250,4,0,,,11,148
40805521,Apartamento com área externa no Humaitá. 2 quartos,183440462,Fabio,,Humaitá,-22.95512,-43.1985,Entire home/apt,290,4,0,,,2,364
40805715,Casa para temporada,317188059,Carol,,Pavuna,-22.82212,-43.36235,Entire home/apt,350,1,0,,,1,362
